item,detection precision %,retrieved,relevant retrieved
SOD_9858_021360_021480.rttm,22.94,40.67,9.33
SOD_9858_022020_022140.rttm,62.45,65.36,40.82
SOD_9858_023100_023220.rttm,50.74,76.61,38.87
WAR_1130_002640_002760.rttm,87.08,74.56,64.93
WAR_1130_003000_003120.rttm,94.17,86.12,81.10
WAR_1130_004380_004500.rttm,30.46,73.43,22.37
WAR_1130_007080_007200.rttm,92.76,50.80,47.12
WAR_1130_009120_009240.rttm,54.06,75.95,41.06
WAR_1130_011220_011340.rttm,62.55,29.85,18.67
WAR_1130_013260_013380.rttm,88.02,96.31,84.77
WAR_1130_021960_022080.rttm,30.86,119.20,36.79
WAR_1130_022980_023100.rttm,7.69,118.60,9.12
WAR_1130_023580_023700.rttm,66.59,58.36,38.86
WAR_1130_026400_026520.rttm,35.77,120.00,42.92
WAR_1130_027660_027780.rttm,88.73,64.86,57.55
WAR_1130_037140_037260.rttm,72.07,78.74,56.75
WAR_1130_039420_039540.rttm,9.06,98.16,8.89
WAR_1130_040080_040200.rttm,85.81,118.39,101.59
WAR_2535_004380_004500.rttm,64.63,37.55,24.27
WAR_2535_006840_006960.rttm,100.00,0.00,0.00
WAR_2535_009720_009840.rttm,83.38,70.08,58.43
WAR_2535_010920_011040.rttm,76.22,25.10,19.13
WAR_2535_012600_012720.rttm,85.17,75.21,64.06
WAR_2535_013320_013440.rttm,81.60,37.40,30.52
WAR_2535_014940_015060.rttm,57.29,18.73,10.73
WAR_2535_018660_018780.rttm,100.00,0.00,0.00
WAR_2535_025740_025860.rttm,88.25,45.69,40.32
WAR_2535_032640_032760.rttm,77.47,96.38,74.67
WAR_2535_034500_034620.rttm,81.04,107.32,86.97
WAR_2535_035640_035760.rttm,37.91,50.38,19.10
WAR_2535_036960_037080.rttm,88.35,63.15,55.79
WAR_2535_038400_038520.rttm,81.18,79.00,64.13
WAR_2535_045660_045780.rttm,38.08,20.77,7.91
WAR_3090_010980_011100.rttm,28.00,66.82,18.71
WAR_3090_016320_016440.rttm,40.79,22.63,9.23
WAR_3090_020820_020940.rttm,26.15,22.14,5.79
WAR_3090_021120_021240.rttm,67.70,24.49,16.58
WAR_3090_027060_027180.rttm,65.55,45.48,29.81
WAR_3090_030780_030900.rttm,4.71,47.31,2.23
WAR_3090_031860_031980.rttm,0.00,88.49,0.00
WAR_3090_032340_032460.rttm,0.00,91.15,0.00
WAR_3090_034200_034320.rttm,0.00,20.06,0.00
WAR_3090_037080_037200.rttm,31.48,36.28,11.42
WAR_3090_043920_044040.rttm,52.77,99.33,52.42
WAR_3090_046980_047100.rttm,56.38,82.23,46.36
WAR_3090_047700_047820.rttm,64.05,71.94,46.08
WAR_3090_048720_048840.rttm,76.99,53.88,41.48
WAR_3090_055920_056040.rttm,82.15,91.34,75.04
WAR_3528_003060_003180.rttm,79.56,63.60,50.60
WAR_3528_006600_006720.rttm,71.68,84.58,60.63
WAR_3528_007680_007800.rttm,24.33,51.14,12.44
WAR_3528_012000_012120.rttm,0.00,73.09,0.00
WAR_3528_015360_015480.rttm,0.00,64.00,0.00
WAR_3528_018480_018600.rttm,100.00,0.00,0.00
WAR_3528_023100_023220.rttm,100.00,0.00,0.00
WAR_3528_028920_029040.rttm,51.67,0.60,0.31
WAR_3528_030600_030720.rttm,100.00,0.00,0.00
WAR_3528_045720_045840.rttm,100.00,0.00,0.00
WAR_3528_047940_048060.rttm,100.00,0.00,0.00
WAR_3528_049920_050040.rttm,100.00,0.00,0.00
WAR_3528_050400_050520.rttm,100.00,0.00,0.00
WAR_3528_054960_055080.rttm,100.00,0.00,0.00
WAR_3528_056340_056460.rttm,100.00,0.00,0.00
WAR_4995_002820_002940.rttm,75.49,59.21,44.70
WAR_4995_005100_005220.rttm,30.64,2.35,0.72
WAR_4995_007080_007200.rttm,82.78,38.96,32.25
WAR_4995_007440_007560.rttm,78.92,51.47,40.62
WAR_4995_012660_012780.rttm,69.66,18.49,12.88
WAR_4995_017580_017700.rttm,58.91,22.90,13.49
WAR_4995_019500_019620.rttm,64.33,39.72,25.55
WAR_4995_020340_020460.rttm,51.41,19.10,9.82
WAR_4995_023160_023280.rttm,50.45,29.99,15.13
WAR_4995_026280_026400.rttm,79.92,25.94,20.73
WAR_4995_026700_026820.rttm,89.63,111.57,100.00
WAR_4995_027300_027420.rttm,100.00,0.00,0.00
WAR_4995_029760_029880.rttm,100.00,0.00,0.00
WAR_4995_032760_032880.rttm,100.00,0.00,0.00
WAR_4995_033120_033240.rttm,30.68,7.66,2.35
WAR_5613_007800_007920.rttm,67.92,112.35,76.31
WAR_5613_015240_015360.rttm,61.47,25.80,15.86
WAR_5613_017820_017940.rttm,60.10,120.00,72.12
WAR_5613_020040_020160.rttm,90.06,46.98,42.31
WAR_5613_028560_028680.rttm,82.54,70.51,58.20
WAR_5613_029700_029820.rttm,10.16,120.00,12.19
WAR_5613_030540_030660.rttm,83.29,63.24,52.67
WAR_5613_031980_032100.rttm,100.00,0.00,0.00
WAR_5613_033000_033120.rttm,55.60,96.48,53.64
WAR_5613_034620_034740.rttm,93.94,108.61,102.03
WAR_5613_038820_038940.rttm,92.65,58.79,54.47
WAR_5613_044400_044520.rttm,72.61,114.29,82.99
WAR_5613_053760_053880.rttm,86.72,77.99,67.63
WAR_5613_056520_056640.rttm,100.00,0.00,0.00
WAR_5613_057240_057360.rttm,0.00,1.61,0.00
WAR_5959_003960_004080.rttm,77.16,37.52,28.95
WAR_5959_004920_005040.rttm,17.94,2.62,0.47
WAR_5959_008520_008640.rttm,100.00,0.00,0.00
WAR_5959_012240_012360.rttm,77.18,37.55,28.98
WAR_5959_012840_012960.rttm,82.86,71.94,59.61
WAR_5959_018300_018420.rttm,44.95,45.98,20.67
WAR_5959_021960_022080.rttm,75.81,22.98,17.42
WAR_5959_022920_023040.rttm,78.33,116.56,91.30
WAR_5959_025800_025920.rttm,69.81,57.67,40.26
WAR_5959_037560_037680.rttm,89.42,88.32,78.98
WAR_5959_039300_039420.rttm,100.00,0.00,0.00
WAR_5959_041940_042060.rttm,100.00,0.00,0.00
WAR_5959_042300_042420.rttm,100.00,0.00,0.00
WAR_5959_051900_052020.rttm,100.00,0.00,0.00
WAR_5959_055800_055920.rttm,100.00,0.00,0.00
WAR_9398_003180_003300.rttm,43.63,15.61,6.81
WAR_9398_005100_005220.rttm,69.03,46.53,32.12
WAR_9398_006000_006120.rttm,86.93,45.30,39.38
WAR_9398_007680_007800.rttm,78.11,59.47,46.45
WAR_9398_009300_009420.rttm,75.75,90.52,68.57
WAR_9398_011640_011760.rttm,100.00,0.00,0.00
WAR_9398_012540_012660.rttm,100.00,0.00,0.00
WAR_9398_013500_013620.rttm,100.00,0.00,0.00
WAR_9398_018660_018780.rttm,92.32,85.64,79.06
WAR_9398_019500_019620.rttm,61.98,18.36,11.38
WAR_9398_022920_023040.rttm,43.46,1.91,0.83
WAR_9398_026700_026820.rttm,66.18,9.52,6.30
WAR_9398_027600_027720.rttm,67.46,9.68,6.53
WAR_9398_033780_033900.rttm,71.03,86.39,61.36
WAR_9398_034140_034260.rttm,68.55,109.35,74.96
WAR_9427_004380_004500.rttm,69.15,39.93,27.61
WAR_9427_008940_009060.rttm,100.00,0.00,0.00
WAR_9427_009960_010080.rttm,100.00,0.00,0.00
WAR_9427_017880_018000.rttm,40.50,12.37,5.01
WAR_9427_018240_018360.rttm,29.77,76.14,22.67
WAR_9427_021000_021120.rttm,65.72,25.32,16.64
WAR_9427_022800_022920.rttm,87.45,119.14,104.19
WAR_9427_033300_033420.rttm,50.49,93.62,47.27
WAR_9427_043260_043380.rttm,43.12,29.66,12.79
WAR_9427_045000_045120.rttm,48.79,113.17,55.22
WAR_9427_045960_046080.rttm,32.31,97.36,31.46
WAR_9427_049320_049440.rttm,100.00,0.00,0.00
WAR_9427_053340_053460.rttm,32.17,37.40,12.03
WAR_9427_056040_056160.rttm,67.83,101.79,69.04
WAR_9427_056760_056880.rttm,42.88,98.85,42.39
WAR_9755_004140_004260.rttm,100.00,0.00,0.00
WAR_9755_010980_011100.rttm,81.93,58.34,47.80
WAR_9755_013140_013260.rttm,74.87,18.82,14.09
WAR_9755_014640_014760.rttm,0.00,39.49,0.00
WAR_9755_016680_016800.rttm,100.00,0.00,0.00
WAR_9755_017160_017280.rttm,42.70,28.29,12.08
WAR_9755_019020_019140.rttm,84.88,10.85,9.21
WAR_9755_026520_026640.rttm,100.00,0.00,0.00
WAR_9755_029400_029520.rttm,19.86,1.46,0.29
WAR_9755_031080_031200.rttm,87.98,24.30,21.38
WAR_9755_035280_035400.rttm,58.37,49.22,28.73
WAR_9755_036060_036180.rttm,62.10,71.42,44.35
WAR_9755_036900_037020.rttm,53.19,21.79,11.59
WAR_9755_038340_038460.rttm,56.82,43.12,24.50
WAR_9755_038880_039000.rttm,22.47,94.12,21.15
TOTAL,56.55,33943.15,19194.27
