item,identification error rate %,total,correct,correct %,false alarm,false alarm %,missed detection,missed detection %,confusion,confusion %
SOD_8924_019500_019620.rttm,141.22,55.73,7.98,14.33,30.96,55.55,15.54,27.89,32.20,57.78
SOD_8924_023400_023520.rttm,124.62,26.16,13.32,50.92,19.76,75.54,5.55,21.22,7.29,27.87
SOD_8924_024480_024600.rttm,158.35,30.01,12.65,42.15,30.16,100.50,0.72,2.40,16.64,55.45
SOD_8924_028020_028140.rttm,87.78,61.22,20.27,33.11,12.79,20.90,11.54,18.85,29.41,48.03
SOD_9527_001980_002100.rttm,81.09,49.84,27.58,55.35,18.16,36.43,2.47,4.95,19.79,39.70
SOD_9527_003660_003780.rttm,96.09,36.09,15.78,43.72,14.37,39.81,5.73,15.87,14.58,40.41
SOD_9527_004800_004920.rttm,103.00,70.52,31.95,45.31,34.07,48.31,5.65,8.02,32.91,46.67
SOD_9527_007920_008040.rttm,129.29,36.20,8.82,24.36,19.42,53.65,4.07,11.24,23.32,64.40
SOD_9527_008340_008460.rttm,131.38,19.07,4.90,25.70,10.88,57.08,4.80,25.18,9.36,49.12
SOD_9527_010320_010440.rttm,100.00,0.00,0.00,,1.37,,0.00,,0.00,
SOD_9527_012060_012180.rttm,0.00,0.00,0.00,,0.00,,0.00,,0.00,
SOD_9527_013920_014040.rttm,0.00,0.00,0.00,,0.00,,0.00,,0.00,
SOD_9527_020460_020580.rttm,104.78,40.52,14.63,36.11,16.57,40.90,8.93,22.05,16.95,41.84
SOD_9527_025620_025740.rttm,145.62,21.88,3.58,16.35,13.56,61.97,4.94,22.59,13.36,61.06
SOD_9527_027240_027360.rttm,169.53,25.18,5.04,20.00,22.54,89.54,5.63,22.35,14.51,57.64
SOD_9527_032760_032880.rttm,96.82,27.40,6.04,22.03,5.17,18.86,9.19,33.55,12.17,44.41
SOD_9527_042300_042420.rttm,337.16,10.53,4.81,45.67,29.78,282.83,3.14,29.86,2.58,24.47
SOD_9527_048900_049020.rttm,0.00,0.00,0.00,,0.00,,0.00,,0.00,
SOD_9527_049500_049620.rttm,0.00,0.00,0.00,,0.00,,0.00,,0.00,
SOD_9854_003120_003240.rttm,114.49,26.43,6.97,26.36,10.80,40.86,3.20,12.11,16.26,61.53
SOD_9854_007380_007500.rttm,67.87,25.17,12.57,49.94,4.48,17.82,8.30,32.98,4.30,17.07
SOD_9854_010740_010860.rttm,155.48,23.74,1.48,6.23,14.65,61.71,17.06,71.89,5.19,21.88
SOD_9854_011460_011580.rttm,86.77,58.82,27.84,47.33,20.06,34.10,9.66,16.42,21.33,36.25
SOD_9854_012060_012180.rttm,118.09,44.16,10.59,23.98,18.57,42.06,10.02,22.70,23.55,53.32
SOD_9854_013260_013380.rttm,71.11,50.15,28.58,56.98,14.09,28.09,11.02,21.97,10.55,21.04
SOD_9854_015780_015900.rttm,89.42,25.91,9.86,38.06,7.12,27.48,9.77,37.69,6.28,24.25
SOD_9854_019380_019500.rttm,226.21,32.24,2.74,8.50,43.43,134.71,5.36,16.61,24.15,74.89
SOD_9854_020880_021000.rttm,131.51,50.70,7.10,14.01,23.07,45.51,19.85,39.16,23.74,46.83
SOD_9854_021900_022020.rttm,360.00,29.79,0.00,0.00,77.45,260.00,2.67,8.96,27.12,91.04
SOD_9854_024300_024420.rttm,0.00,0.00,0.00,,0.00,,0.00,,0.00,
SOD_9854_027480_027600.rttm,0.00,0.00,0.00,,0.00,,0.00,,0.00,
SOD_9854_028320_028440.rttm,1310.45,3.44,0.00,0.00,41.70,1210.45,3.44,100.00,0.00,0.00
SOD_9854_030060_030180.rttm,161.91,62.92,4.36,6.93,43.32,68.84,3.13,4.97,55.43,88.10
SOD_9854_032340_032460.rttm,97.65,41.67,9.47,22.74,8.49,20.38,13.93,33.44,18.26,43.83
SOD_9858_002580_002700.rttm,69.99,18.76,14.00,74.63,8.37,44.62,0.49,2.61,4.27,22.76
SOD_9858_003360_003480.rttm,100.00,0.00,0.00,,30.51,,0.00,,0.00,
SOD_9858_004740_004860.rttm,145.75,14.12,3.04,21.53,9.50,67.28,4.19,29.67,6.89,48.80
SOD_9858_008520_008640.rttm,0.00,0.00,0.00,,0.00,,0.00,,0.00,
SOD_9858_009600_009720.rttm,159.41,1.76,0.21,11.77,1.25,71.18,0.80,45.54,0.75,42.69
SOD_9858_011520_011640.rttm,0.00,0.00,0.00,,0.00,,0.00,,0.00,
SOD_9858_012660_012780.rttm,100.00,0.00,0.00,,1.68,,0.00,,0.00,
SOD_9858_012960_013080.rttm,100.00,0.00,0.00,,1.60,,0.00,,0.00,
SOD_9858_013800_013920.rttm,0.00,0.00,0.00,,0.00,,0.00,,0.00,
SOD_9858_015660_015780.rttm,0.00,0.00,0.00,,0.00,,0.00,,0.00,
SOD_9858_017040_017160.rttm,74.14,87.81,31.57,35.95,8.86,10.08,19.84,22.59,36.41,41.46
