item,detection error rate %,total,false alarm,false alarm %,miss,miss %
C01_20170706_034440_034500.rttm,0.00,0.00,0.00,,0.00,
C01_20170706_038040_038100.rttm,100.00,0.00,15.51,,0.00,
C01_20170706_041640_041700.rttm,100.00,0.00,0.80,,0.00,
C01_20170706_045240_045300.rttm,100.00,0.00,21.23,,0.00,
C01_20170706_048840_048900.rttm,0.00,0.00,0.00,,0.00,
C01_20170706_052440_052500.rttm,0.00,0.00,0.00,,0.00,
C01_20170706_056040_056100.rttm,0.00,0.00,0.00,,0.00,
C01_20170718_002040_002100.rttm,0.00,0.00,0.00,,0.00,
C01_20170718_005640_005700.rttm,0.00,0.00,0.00,,0.00,
C01_20170718_009240_009300.rttm,0.00,0.00,0.00,,0.00,
C01_20170718_012840_012900.rttm,0.00,0.00,0.00,,0.00,
C01_20170718_016440_016500.rttm,100.00,0.00,19.04,,0.00,
C01_20170718_020040_020100.rttm,0.00,0.00,0.00,,0.00,
C01_20170718_023640_023700.rttm,0.00,0.00,0.00,,0.00,
C01_20170718_027240_027300.rttm,0.00,0.00,0.00,,0.00,
C01_20170718_030840_030900.rttm,100.00,0.00,0.81,,0.00,
C01_20170718_034440_034500.rttm,0.00,0.00,0.00,,0.00,
C01_20170718_038040_038100.rttm,100.00,0.00,8.29,,0.00,
C01_20170718_041640_041700.rttm,100.00,0.00,45.57,,0.00,
C01_20170718_045240_045300.rttm,0.00,0.00,0.00,,0.00,
C01_20170718_048840_048900.rttm,0.00,0.00,0.00,,0.00,
C01_20170718_052440_052500.rttm,0.00,0.00,0.00,,0.00,
C01_20170718_056040_056100.rttm,0.00,0.00,0.00,,0.00,
C04_20170707_002040_002100.rttm,100.00,0.00,32.24,,0.00,
C04_20170707_005640_005700.rttm,100.00,0.00,45.47,,0.00,
C04_20170707_009240_009300.rttm,0.00,0.00,0.00,,0.00,
C04_20170707_012840_012900.rttm,0.00,0.00,0.00,,0.00,
C04_20170707_016440_016500.rttm,0.00,0.00,0.00,,0.00,
C04_20170707_020040_020100.rttm,100.00,0.00,49.60,,0.00,
C04_20170707_023640_023700.rttm,0.00,0.00,0.00,,0.00,
C04_20170707_027240_027300.rttm,0.00,0.00,0.00,,0.00,
C04_20170707_030840_030900.rttm,0.00,0.00,0.00,,0.00,
C04_20170707_034440_034500.rttm,100.00,0.00,14.29,,0.00,
C04_20170707_038040_038100.rttm,100.00,0.00,43.65,,0.00,
C04_20170707_041640_041700.rttm,100.00,0.00,47.75,,0.00,
