item,detection error rate %,total,false alarm,false alarm %,miss,miss %
C10_20170709_052440_052500.rttm,100.00,4.08,0.00,0.00,4.08,100.00
C11_20170709_002040_002100.rttm,97.71,20.93,15.44,73.77,5.01,23.94
C11_20170709_005640_005700.rttm,0.00,0.00,0.00,,0.00,
C11_20170709_009240_009300.rttm,0.00,0.00,0.00,,0.00,
C11_20170709_012840_012900.rttm,0.00,0.00,0.00,,0.00,
C11_20170709_016440_016500.rttm,100.00,0.00,13.56,,0.00,
C11_20170709_020040_020100.rttm,100.00,0.00,2.29,,0.00,
C11_20170709_023640_023700.rttm,253.45,1.16,2.67,230.17,0.27,23.28
C11_20170709_027240_027300.rttm,295.35,5.59,13.87,248.12,2.64,47.23
C11_20170709_030840_030900.rttm,100.00,0.00,13.73,,0.00,
C11_20170709_034440_034500.rttm,0.00,0.00,0.00,,0.00,
C11_20170709_038040_038100.rttm,100.00,0.00,2.65,,0.00,
C11_20170709_041640_041700.rttm,100.00,0.00,6.14,,0.00,
C11_20170709_045240_045300.rttm,0.00,0.00,0.00,,0.00,
C11_20170709_048840_048900.rttm,0.00,0.00,0.00,,0.00,
C11_20170718_002040_002100.rttm,0.00,0.00,0.00,,0.00,
C11_20170718_005640_005700.rttm,100.00,16.60,0.00,0.00,16.60,100.00
C11_20170718_009240_009300.rttm,100.00,0.00,1.00,,0.00,
C11_20170718_012840_012900.rttm,0.00,0.00,0.00,,0.00,
C11_20170718_016440_016500.rttm,0.00,0.00,0.00,,0.00,
C11_20170718_020040_020100.rttm,0.00,0.00,0.00,,0.00,
C11_20170718_023640_023700.rttm,0.00,0.00,0.00,,0.00,
C11_20170718_027240_027300.rttm,0.00,0.00,0.00,,0.00,
C11_20170718_030840_030900.rttm,0.00,0.00,0.00,,0.00,
C11_20170718_034440_034500.rttm,0.00,0.00,0.00,,0.00,
C11_20170718_038040_038100.rttm,0.00,0.00,0.00,,0.00,
C11_20170718_041640_041700.rttm,0.00,0.00,0.00,,0.00,
C11_20170718_045240_045300.rttm,0.00,0.00,0.00,,0.00,
C11_20170718_048840_048900.rttm,94.19,14.28,4.23,29.62,9.22,64.57
C11_20170718_052440_052500.rttm,100.00,0.93,0.00,0.00,0.93,100.00
C11_20170718_056040_056100.rttm,105.73,13.96,1.84,13.18,12.92,92.55
C12_20170709_002040_002100.rttm,52.57,6.62,0.20,3.02,3.28,49.55
