item,detection error rate %,total,false alarm,false alarm %,miss,miss %
C11_20170709_48840.rttm,0.00,0.00,0.00,,0.00,
C11_20170709_52440.rttm,0.00,0.00,0.00,,0.00,
C11_20170709_56040.rttm,0.00,0.00,0.00,,0.00,
C11_20170709_5640.rttm,0.00,0.00,0.00,,0.00,
C11_20170709_9240.rttm,0.00,0.00,0.00,,0.00,
C11_20170718_12840.rttm,0.00,0.00,0.00,,0.00,
C11_20170718_16440.rttm,0.00,0.00,0.00,,0.00,
C11_20170718_20040.rttm,0.00,0.00,0.00,,0.00,
C11_20170718_2040.rttm,0.00,0.00,0.00,,0.00,
C11_20170718_23640.rttm,0.00,0.00,0.00,,0.00,
C11_20170718_27240.rttm,0.00,0.00,0.00,,0.00,
C11_20170718_30840.rttm,0.00,0.00,0.00,,0.00,
C11_20170718_34440.rttm,0.00,0.00,0.00,,0.00,
C11_20170718_38040.rttm,0.00,0.00,0.00,,0.00,
C11_20170718_41640.rttm,0.00,0.00,0.00,,0.00,
C11_20170718_45240.rttm,0.00,0.00,0.00,,0.00,
C11_20170718_48840.rttm,94.26,14.29,4.23,29.64,9.23,64.62
C11_20170718_52440.rttm,100.00,0.93,0.00,0.00,0.93,100.00
C11_20170718_56040.rttm,105.74,13.94,1.84,13.20,12.90,92.54
C11_20170718_5640.rttm,100.00,16.60,0.00,0.00,16.60,100.00
C11_20170718_9240.rttm,100.00,0.00,1.00,,0.00,
C12_20170709_12840.rttm,88.95,9.81,1.15,11.75,7.58,77.21
C12_20170709_16440.rttm,83.39,25.41,1.62,6.37,19.57,77.02
C12_20170709_20040.rttm,100.00,4.13,0.00,0.00,4.13,100.00
C12_20170709_2040.rttm,52.70,6.63,0.20,3.05,3.29,49.65
C12_20170709_23640.rttm,100.00,0.89,0.00,0.00,0.89,100.00
C12_20170709_27240.rttm,100.00,0.00,1.61,,0.00,
C12_20170709_30840.rttm,95.34,12.48,0.01,0.07,11.89,95.27
C12_20170709_34440.rttm,80.93,7.63,1.59,20.81,4.59,60.13
C12_20170709_38040.rttm,97.79,10.97,5.82,53.07,4.91,44.72
C12_20170709_41640.rttm,0.00,0.00,0.00,,0.00,
C12_20170709_45240.rttm,0.00,0.00,0.00,,0.00,
C12_20170709_48840.rttm,0.00,0.00,0.00,,0.00,
C12_20170709_52440.rttm,0.00,0.00,0.00,,0.00,
C12_20170709_56040.rttm,0.00,0.00,0.00,,0.00,
C12_20170709_5640.rttm,228.74,1.21,1.56,128.74,1.21,100.00
C12_20170709_9240.rttm,100.00,0.00,1.00,,0.00,
C15_20170710_12840.rttm,100.00,0.00,1.47,,0.00,
C15_20170710_16440.rttm,0.00,0.00,0.00,,0.00,
C15_20170710_20040.rttm,0.00,0.00,0.00,,0.00,
C15_20170710_2040.rttm,115.45,11.40,4.46,39.08,8.71,76.37
C15_20170710_23640.rttm,100.00,0.00,1.09,,0.00,
C15_20170710_27240.rttm,100.00,0.00,0.71,,0.00,
C15_20170710_30840.rttm,100.00,0.00,5.97,,0.00,
C15_20170710_34440.rttm,100.00,0.00,2.63,,0.00,
C15_20170710_38040.rttm,0.00,0.00,0.00,,0.00,
C15_20170710_41640.rttm,0.00,0.00,0.00,,0.00,
C15_20170710_45240.rttm,0.00,0.00,0.00,,0.00,
C15_20170710_48840.rttm,0.00,0.00,0.00,,0.00,
C15_20170710_52440.rttm,0.00,0.00,0.00,,0.00,
C15_20170710_56040.rttm,0.00,0.00,0.00,,0.00,
C15_20170710_5640.rttm,559.05,1.59,7.86,494.39,1.03,64.66
C15_20170710_9240.rttm,0.00,0.00,0.00,,0.00,
C16_20170710_12840.rttm,0.00,0.00,0.00,,0.00,
C16_20170710_16440.rttm,100.00,0.00,0.64,,0.00,
C16_20170710_20040.rttm,165.19,3.47,2.26,65.19,3.47,100.00
C16_20170710_2040.rttm,109.98,15.49,8.21,52.98,8.83,57.00
C16_20170710_23640.rttm,67.54,6.57,0.55,8.43,3.88,59.11
C16_20170710_27240.rttm,100.00,0.00,3.09,,0.00,
C16_20170710_30840.rttm,100.00,0.00,4.01,,0.00,
C16_20170710_34440.rttm,0.00,0.00,0.00,,0.00,
C16_20170710_38040.rttm,0.00,0.00,0.00,,0.00,
C16_20170710_41640.rttm,0.00,0.00,0.00,,0.00,
C16_20170710_45240.rttm,0.00,0.00,0.00,,0.00,
C16_20170710_48840.rttm,0.00,0.00,0.00,,0.00,
C16_20170710_52440.rttm,0.00,0.00,0.00,,0.00,
C16_20170710_56040.rttm,0.00,0.00,0.00,,0.00,
C16_20170710_5640.rttm,100.00,0.00,1.11,,0.00,
C16_20170710_9240.rttm,0.00,0.00,0.00,,0.00,
C18_20170711_12840.rttm,87.43,11.10,4.56,41.08,5.15,46.35
C18_20170711_16440.rttm,96.97,12.00,5.81,48.44,5.82,48.53
C18_20170711_20040.rttm,326.13,1.88,5.66,300.44,0.48,25.69
C18_20170711_2040.rttm,103.23,9.67,3.15,32.53,6.84,70.70
C18_20170711_23640.rttm,117.68,8.05,4.88,60.56,4.60,57.11
C18_20170711_27240.rttm,100.00,3.26,0.00,0.00,3.26,100.00
C18_20170711_30840.rttm,85.85,6.67,0.04,0.56,5.69,85.28
C18_20170711_34440.rttm,186.44,1.21,1.05,86.44,1.21,100.00
C18_20170711_38040.rttm,0.00,0.00,0.00,,0.00,
C18_20170711_41640.rttm,0.00,0.00,0.00,,0.00,
C18_20170711_45240.rttm,0.00,0.00,0.00,,0.00,
C18_20170711_48840.rttm,0.00,0.00,0.00,,0.00,
C18_20170711_52440.rttm,0.00,0.00,0.00,,0.00,
C18_20170711_56040.rttm,0.00,0.00,0.00,,0.00,
C18_20170711_5640.rttm,59.27,12.51,0.05,0.38,7.37,58.89
C18_20170711_9240.rttm,44.57,3.03,1.08,35.73,0.27,8.83
C18_20170718_12840.rttm,0.00,0.00,0.00,,0.00,
C18_20170718_16440.rttm,0.00,0.00,0.00,,0.00,
C18_20170718_20040.rttm,0.00,0.00,0.00,,0.00,
C18_20170718_2040.rttm,315.98,1.67,3.60,215.98,1.67,100.00
C18_20170718_23640.rttm,0.00,0.00,0.00,,0.00,
C18_20170718_27240.rttm,0.00,0.00,0.00,,0.00,
C18_20170718_30840.rttm,0.00,0.00,0.00,,0.00,
C18_20170718_34440.rttm,0.00,0.00,0.00,,0.00,
C18_20170718_38040.rttm,0.00,0.00,0.00,,0.00,
C18_20170718_41640.rttm,0.00,0.00,0.00,,0.00,
C18_20170718_45240.rttm,2567.64,0.73,18.11,2467.64,0.73,100.00
C18_20170718_48840.rttm,173.43,1.83,3.17,173.43,0.00,0.00
C18_20170718_52440.rttm,353.57,4.58,14.67,320.26,1.53,33.31
C18_20170718_56040.rttm,100.00,3.62,0.00,0.00,3.62,100.00
C18_20170718_5640.rttm,0.00,0.00,0.00,,0.00,
C18_20170718_9240.rttm,0.00,0.00,0.00,,0.00,
C20_20170711_12840.rttm,60.57,2.43,1.18,48.49,0.29,12.08
C20_20170711_16440.rttm,100.00,6.71,0.00,0.00,6.71,100.00
C20_20170711_20040.rttm,73.73,29.96,0.83,2.76,21.26,70.98
C20_20170711_2040.rttm,183.00,4.81,3.99,83.00,4.81,100.00
C20_20170711_23640.rttm,100.00,2.28,0.00,0.00,2.28,100.00
C20_20170711_27240.rttm,96.59,3.14,1.38,43.87,1.65,52.72
C20_20170711_30840.rttm,100.00,3.53,0.00,0.00,3.53,100.00
C20_20170711_34440.rttm,0.00,0.00,0.00,,0.00,
C20_20170711_38040.rttm,91.61,14.82,0.45,3.02,13.13,88.58
C20_20170711_41640.rttm,100.00,0.00,0.81,,0.00,
C20_20170711_45240.rttm,0.00,0.00,0.00,,0.00,
C20_20170711_48840.rttm,0.00,0.00,0.00,,0.00,
C20_20170711_52440.rttm,0.00,0.00,0.00,,0.00,
C20_20170711_56040.rttm,0.00,0.00,0.00,,0.00,
C20_20170711_5640.rttm,81.21,9.47,0.95,9.98,6.75,71.23
C20_20170711_9240.rttm,74.24,15.74,2.70,17.17,8.98,57.06
C22_20170717_12840.rttm,0.00,0.00,0.00,,0.00,
C22_20170717_16440.rttm,0.00,0.00,0.00,,0.00,
C22_20170717_20040.rttm,0.00,0.00,0.00,,0.00,
C22_20170717_2040.rttm,102.68,19.00,1.35,7.13,18.16,95.55
C22_20170717_23640.rttm,0.00,0.00,0.00,,0.00,
C22_20170717_27240.rttm,0.00,0.00,0.00,,0.00,
C22_20170717_30840.rttm,0.00,0.00,0.00,,0.00,
C22_20170717_34440.rttm,0.00,0.00,0.00,,0.00,
C22_20170717_38040.rttm,0.00,0.00,0.00,,0.00,
C22_20170717_41640.rttm,0.00,0.00,0.00,,0.00,
C22_20170717_45240.rttm,100.00,0.00,3.12,,0.00,
C22_20170717_48840.rttm,66.77,10.66,4.76,44.61,2.36,22.15
C22_20170717_52440.rttm,0.00,0.00,0.00,,0.00,
C22_20170717_56040.rttm,0.00,0.00,0.00,,0.00,
C22_20170717_5640.rttm,52.34,9.75,2.17,22.27,2.93,30.08
C22_20170717_9240.rttm,0.00,0.00,0.00,,0.00,
C24_20170712_12840.rttm,152.73,1.14,0.60,52.73,1.14,100.00
C24_20170712_16440.rttm,247.35,1.41,2.08,147.35,1.41,100.00
C24_20170712_20040.rttm,100.00,0.00,4.01,,0.00,
C24_20170712_2040.rttm,83.56,3.85,0.68,17.75,2.53,65.81
C24_20170712_23640.rttm,57.15,50.58,1.14,2.25,27.77,54.90
C24_20170712_27240.rttm,100.00,0.00,3.58,,0.00,
C24_20170712_30840.rttm,0.00,0.00,0.00,,0.00,
C24_20170712_34440.rttm,0.00,0.00,0.00,,0.00,
C24_20170712_38040.rttm,42.41,4.71,0.06,1.27,1.94,41.15
C24_20170712_41640.rttm,141.57,2.41,1.00,41.57,2.41,100.00
C24_20170712_45240.rttm,0.00,0.00,0.00,,0.00,
C24_20170712_48840.rttm,0.00,0.00,0.00,,0.00,
