"filename" "age_mo_round" "CV_cum_dur" "CV_mean" "CV_count" "CNV_cum_dur" "CNV_mean" "CNV_count" "CTC_count"
"4995_ 7440_ 7560" 9 15.49 0.860555555555556 17 0.49 0.0272222222222222 1 6
"4995_12660_12780" 9 11.89 1.08090909090909 10 0.74 0.0672727272727273 1 0
"4995_17580_17700" 9 10.61 0.558421052631579 13 3.52 0.185263157894737 6 0
"4995_19500_19620" 9 10.07 0.592352941176471 15 0.36 0.0211764705882353 2 8
"4995_20340_20460" 9 5.01 1.002 5 0 0 0 2
"4995_23160_23280" 9 9.31 0.775833333333333 12 0 0 0 0
"4995_26280_26400" 9 9.54 0.795 7 6.59 0.549166666666667 5 0
"4995_26700_26820" 9 1.17 0.0417857142857143 1 82.64 2.95142857142857 27 0
"4995_33120_33240" 9 0.86 0.86 1 0 0 0 0
"5613_17820_17940" 6 2.72 0.226666666666667 4 8.53 0.710833333333333 8 2
"5613_28560_28680" 6 8.97 0.69 11 1.2 0.0923076923076923 2 10
"5613_30540_30660" 6 9.63 1.07 9 0 0 0 5
"5750_ 4860_ 4980" 7 3 0.428571428571429 5 1.37 0.195714285714286 2 3
"5750_ 6420_ 6540" 7 1 0.5 1 1 0.5 1 3
"5750_10560_10680" 7 7.69 0.549285714285714 10 4.84 0.345714285714286 4 8
"5750_27060_27180" 7 2.55 0.0980769230769231 4 55.83 2.14730769230769 22 6
"5750_29340_29460" 7 1.61 0.23 2 8.79 1.25571428571429 5 5
"5750_29760_29880" 7 0.83 0.10375 1 7.98 0.9975 7 3
"5750_30120_30240" 7 0.85 0.17 1 4.16 0.832 4 1
"5750_30420_30540" 7 0.64 0.213333333333333 1 1.22 0.406666666666667 2 1
"5959_ 3960_ 4080" 9 1.17 0.078 2 10.29 0.686 13 4
"5959_ 4920_ 5040" 9 0.6 0.6 1 0 0 0 0
"5959_12240_12360" 9 2.64 0.293333333333333 4 5.57 0.618888888888889 5 3
"5959_12840_12960" 9 8.5 0.653846153846154 8 11.78 0.906153846153846 5 7
"5959_18300_18420" 9 0 0 0 0.61 0.61 1 1
"5959_21960_22080" 9 2.69 0.224166666666667 6 3.42 0.285 6 3
"5959_25800_25920" 9 7.59 0.345 11 15.07 0.685 10 4
"5959_37560_37680" 9 1.66 0.415 2 2.5 0.625 2 1
"6035_ 8160_ 8280" 12 1.49 0.496666666666667 3 0 0 0 1
"6035_10680_10800" 12 4.69 0.293125 7 13.81 0.863125 9 14
